Date,New Cases,Percent of Total Fully Vaccinated Pop with Booster Dose (%),Average Temperature (°F)
2022/7/7,4785,46.8,76.5
2022/7/8,6609,46.8,75.5
2022/7/9,3128,46.8,78
2022/7/10,14961,46.8,75
2022/7/11,7350,46.8,76
2022/7/12,7005,46.8,80
2022/7/13,8754,46.8,82.5
2022/7/14,8846,46.8,81
2022/7/15,0,46.9,79.5
2022/7/16,6333,46.9,75.5
2022/7/17,15305,46.9,77
2022/7/18,5388,46.9,75
2022/7/19,8005,46.9,81.5
2022/7/20,8863,46.9,86.5
2022/7/21,8552,46.9,83
2022/7/22,3331,46.9,86
2022/7/23,3159,46.9,86.5
2022/7/24,13953,46.9,87
2022/7/25,5220,47,79.5
2022/7/26,6983,47,76
2022/7/27,7384,47,77.5
2022/7/28,8568,47,80
2022/7/29,3209,47,78.5
2022/7/30,3022,47,80
2022/7/31,12692,47,78.5
